Origin,Type,Petitions
App. Court of Illinois - Fifth Dist.,State/Other,2
App. Div. - Superior Court of California - Orange County,State/Other,2
Circuit Court of Michigan - Wayne County - Criminal Div.,State/Other,2
Circuit Court of Tennessee - Davidson County,State/Other,2
Court of Appeal of California - Fifth App. Dist.,State/Other,2
Court of Appeal of Louisiana - Second Circuit,State/Other,2
Court of Appeals of Arkansas,State/Other,2
Court of Appeals of Iowa,State/Other,2
Court of Appeals of Mississippi,State/Other,2
Court of Appeals of Missouri - Eastern Dist.,State/Other,2
Court of Appeals of Missouri - Western Dist.,State/Other,2
Court of Appeals of New Mexico,State/Other,2
Court of Appeals of Ohio - Erie County,State/Other,2
Court of Appeals of Ohio - Franklin County,State/Other,2
Court of Appeals of Ohio - Lucas County,State/Other,2
Court of Appeals of Ohio - Portage County,State/Other,2
Court of Appeals of Ohio - Stark County,State/Other,2
Court of Appeals of Ohio - Summit County,State/Other,2
Court of Appeals of Ohio - Washington County,State/Other,2
Court of Appeals of South Carolina,State/Other,2
